study	n	time	dob	dob_sd	dob_se
Irving1983	15	-30	-0.05333333333333332	0.13597385369580758	0.035108298058900436
Irving1983	15	-15	0.07333333333333333	0.16519348924485155	0.04265277551648027
Irving1983	15	0	0.26666666666666666	0.5236623169774794	0.13520902884601116
Irving1983	15	1	193.61333333333334	51.35403738320441	13.259555436377585
Irving1983	15	3	127.15333333333336	9.528264386666763	2.460187285854773
Irving1983	15	5	90.85333333333332	11.723245663590305	3.0269290145722376
Irving1983	15	7	75.15333333333335	9.106691068781364	2.3513375232297364
Irving1983	15	9	63.45333333333333	11.278348972946153	2.912057182995732
Irving1983	15	12	54.519999999999996	7.954721868173644	2.0539003546098984
Irving1983	15	15	46.25333333333334	5.4702671070270625	1.4124168936548025
Irving1983	15	20	37.3	4.346799588969644	1.1223388278253783
Irving1983	15	30	27.980000000000004	3.1273417892303783	0.807476177839184
Irving1983	15	45	20.646666666666665	2.5141908351506563	0.6491612822483872
Irving1983	15	60	15.866666666666667	2.186829262247563	0.5646368875789243
Irving1983	15	90	11.246666666666668	1.7161455519726627	0.4431068761638705
Irving1983	15	120	8.293333333333333	1.4780467591460773	0.3816300322059068
Irving1983	15	150	5.953333333333333	1.1774926279552194	0.3040272892235047
Irving1983	15	180	4.4399999999999995	0.9386515150292289	0.24235877904003764
Irving1983	15	240	2.613333333333333	0.7154175160158033	0.18472000834095226
Irving1983	15	300	1.5733333333333335	0.7646059260967195	0.1974204012122729
Irving1983	15	360	0.9500000000000001	0.8200609733428362	0.2117388328420966
