study	n	trial	dose	time	co2_ratio
Meineke1993	10	1	12.5	5	2.93E-06
Meineke1993	10	1	12.5	11	4.52E-05
Meineke1993	10	1	12.5	15	1.08E-04
Meineke1993	10	1	12.5	20	1.59E-04
Meineke1993	10	1	12.5	25	1.59E-04
Meineke1993	10	1	12.5	31	1.43E-04
Meineke1993	10	1	12.5	40	1.32E-04
Meineke1993	10	1	12.5	50	1.17E-04
Meineke1993	10	1	12.5	59	1.10E-04
Meineke1993	10	1	12.5	76	8.56E-05
Meineke1993	10	1	12.5	91	7.21E-05
Meineke1993	10	1	12.5	105	5.71E-05
Meineke1993	10	1	12.5	119	4.52E-05
Meineke1993	10	1	12.5	148	3.47E-05
Meineke1993	10	1	12.5	180	2.47E-05
Meineke1993	10	1	12.5	210	1.67E-05
Meineke1993	10	1	12.5	239	1.32E-05
Meineke1993	10	1	25	4	1.62E-06
Meineke1993	10	1	25	11	2.25E-04
Meineke1993	10	1	25	13	5.28E-04
Meineke1993	10	1	25	20	5.00E-04
Meineke1993	10	1	25	25	4.59E-04
Meineke1993	10	1	25	29	3.69E-04
Meineke1993	10	1	25	41	2.32E-04
Meineke1993	10	1	25	51	1.89E-04
Meineke1993	10	1	25	59	1.70E-04
Meineke1993	10	1	25	76	1.39E-04
Meineke1993	10	1	25	91	1.15E-04
Meineke1993	10	1	25	104	9.25E-05
Meineke1993	10	1	25	118	7.80E-05
Meineke1993	10	1	25	148	5.89E-05
Meineke1993	10	1	25	177	4.67E-05
Meineke1993	10	1	25	210	3.37E-05
Meineke1993	10	1	25	240	2.47E-05
Meineke1993	10	2	25	5	5.89E-06
Meineke1993	10	2	25	10	4.06E-04
Meineke1993	10	2	25	14	4.59E-04
Meineke1993	10	2	25	22	5.28E-04
Meineke1993	10	2	25	26	4.74E-04
Meineke1993	10	2	25	31	4.45E-04
Meineke1993	10	2	25	39	3.21E-04
Meineke1993	10	2	25	50	2.47E-04
Meineke1993	10	2	25	61	2.08E-04
Meineke1993	10	2	25	75	1.72E-04
Meineke1993	10	2	25	89	1.45E-04
Meineke1993	10	2	25	104	1.21E-04
Meineke1993	10	2	25	120	1.03E-04
Meineke1993	10	2	25	149	8.04E-05
Meineke1993	10	2	25	180	6.37E-05
Meineke1993	10	2	25	210	4.52E-05
Meineke1993	10	2	25	241	3.69E-05
Meineke1993	10	1	50	5	2.84E-06
Meineke1993	10	1	50	10	4.81E-04
Meineke1993	10	1	50	16	9.40E-04
Meineke1993	10	1	50	20	1.05E-03
Meineke1993	10	1	50	25	9.54E-04
Meineke1993	10	1	50	31	8.04E-04
Meineke1993	10	1	50	39	8.43E-04
Meineke1993	10	1	50	51	5.45E-04
Meineke1993	10	1	50	60	4.67E-04
Meineke1993	10	1	50	75	3.81E-04
Meineke1993	10	1	50	90	3.07E-04
Meineke1993	10	1	50	105	2.47E-04
Meineke1993	10	1	50	120	2.25E-04
Meineke1993	10	1	50	149	1.65E-04
Meineke1993	10	1	50	179	1.22E-04
Meineke1993	10	1	50	209	8.17E-05
Meineke1993	10	1	50	241	6.57E-05
Meineke1993	10	1	100	4	1.21E-05
Meineke1993	10	1	100	10	6.17E-04
Meineke1993	10	1	100	16	1.19E-03
Meineke1993	10	1	100	19	1.89E-03
Meineke1993	10	1	100	26	2.18E-03
Meineke1993	10	1	100	29	2.08E-03
Meineke1993	10	1	100	40	1.26E-03
Meineke1993	10	1	100	51	9.69E-04
Meineke1993	10	1	100	61	8.56E-04
Meineke1993	10	1	100	75	6.99E-04
Meineke1993	10	1	100	90	5.71E-04
Meineke1993	10	1	100	104	5.04E-04
Meineke1993	10	1	100	119	4.12E-04
Meineke1993	10	1	100	148	2.93E-04
Meineke1993	10	1	100	180	2.35E-04
Meineke1993	10	1	100	208	1.75E-04
Meineke1993	10	1	100	239	1.39E-04

