study	time_3m	recovery	time
Winchell1970	-2.2077281	0.0334018	0.7922719
Winchell1970	-0.7269814	0.043174602	2.2730186
Winchell1970	0.81420404	0.037280004	3.81420404
Winchell1970	2.048729	0.033639167	5.048729
Winchell1970	2.8622859	0.028764986	5.8622859
Winchell1970	4.9043236	0.020981157	7.9043236
Winchell1970	6.749279	0.016876206	9.749279
Winchell1970	8.91088	0.014254416	11.91088
Winchell1970	10.762931	0.012248002	13.762931
Winchell1970	12.9229555	0.010194564	15.9229555
Winchell1970	15.088498	0.008932466	18.088498
Winchell1970	16.635464	0.008139169	19.635464
Winchell1970	18.704042	0.007599657	21.704042
Winchell1970	20.46018	0.0070269764	23.46018
Winchell1970	22.63308	0.00659331	25.63308
Winchell1970	24.59865	0.0062016277	27.59865
Winchell1970	26.669067	0.0058905073	29.669067
Winchell1970	28.740011	0.0056224223	31.740011
Winchell1970	30.916065	0.005432514	33.916065
Winchell1970	32.569717	0.0050849584	35.569717
Winchell1970	34.644604	0.005034846	37.644604
Winchell1970	36.507164	0.0047706403	39.507164
Winchell1970	38.577583	0.004531309	41.577583
Winchell1970	40.549984	0.0045418674	43.549984
Winchell1970	42.725777	0.0043777404	45.725777
Winchell1970	44.69161	0.0041277567	47.69161
Winchell1970	46.762554	0.003939897	49.762554
Winchell1970	48.735218	0.0039587445	51.735218
Winchell1970	50.59988	0.0038251013	53.59988
Winchell1970	52.880257	0.0037139957	55.880257
Winchell1970	54.6427	0.0036416713	57.6427
Winchell1970	56.40357	0.003518754	59.40357
Winchell1970	58.373077	0.0034333584	61.373077
Winchell1970	60.552547	0.0034245288	63.552547
Winchell1970	62.62612	0.0033495792	65.62612
Winchell1970	64.700745	0.0033084694	67.700745
Winchell1970	66.87732	0.00321239	69.87732
Winchell1970	68.640816	0.0031807907	71.640816
Winchell1970	70.714386	0.0031111755	73.714386
Winchell1970	72.89333	0.0030880368	75.89333
Winchell1970	75.07149	0.0030426695	78.07149
Winchell1970	76.728035	0.0029256467	79.728035
Winchell1970	78.80423	0.0029324458	81.80423
Winchell1970	80.87649	0.0028334144	83.87649
Winchell1970	82.95164	0.0028123586	85.95164
Winchell1970	84.92141	0.002750824	87.92141
Winchell1970	86.58242	0.002757285	89.58242
Winchell1970	88.863846	0.0027035074	91.863846
Winchell1970	90.73245	0.002709824	93.73245
Winchell1970	92.38847	0.002592892	95.38847
Winchell1970	94.04843	0.0025736876	97.04843
Winchell1970	96.433136	0.0025111653	99.433136
Winchell1970	98.401855	0.0024323156	101.401855
Winchell1970	100.58028	0.0024024488	103.58028
Winchell1970	102.54926	0.0023327095	105.54926
Winchell1970	104.72794	0.002309706	107.72794
Winchell1970	106.59287	0.002237196	109.59287
Winchell1970	108.66697	0.0021989595	111.66697
Winchell1970	110.5332	0.0021561247	113.5332
Winchell1970	112.611244	0.0021984421	115.611244
Winchell1970	114.47381	0.0020830783	117.47381
Winchell1970	116.54843	0.0020575125	119.54843
Winchell1970	118.726845	0.0020322478	121.726845
Winchell1970	120.49087	0.0020221213	123.49087

